CVE;advisory name;advisory URL;unknown PoC;Github PoC;Curl PoC;XML PoC;
CVE-2018-18831;SNYK-JAVA-NETMINGSOFT-1582779;https://security.snyk.io/vuln/SNYK-JAVA-NETMINGSOFT-158277;no;no;yes;no;
CVE-2018-17828;SNYK-COCOAPODS-ZZIPLIB-470924;https://security.snyk.io/vuln/SNYK-COCOAPODS-ZZIPLIB-47092;no;no;yes;no;
CVE-2018-17605;SNYK-JAVA-ORGGRAILSPLUGINS-3145135;https://security.snyk.io/vuln/SNYK-JAVA-ORGGRAILSPLUGINS-314513;no;no;yes;no;
CVE-2018-17605;SNYK-JAVA-COMBERTRAMLABSPLUGINS-3145134;https://security.snyk.io/vuln/SNYK-JAVA-COMBERTRAMLABSPLUGINS-314513;no;no;yes;no;
CVE-2018-16831;SNYK-PHP-SMARTYSMARTY-72360;https://security.snyk.io/vuln/SNYK-PHP-SMARTYSMARTY-7236;no;no;yes;no;
CVE-2018-16831;SNYK-PHP-SMARTYSMARTY-1019379;https://security.snyk.io/vuln/SNYK-PHP-SMARTYSMARTY-101937;no;no;yes;no;
CVE-2018-15750;SNYK-PYTHON-SALT-72539;https://security.snyk.io/vuln/SNYK-PYTHON-SALT-7253;no;no;yes;no;
CVE-2018-15540;SNYK-PHP-AHEINZECOCKPIT-72468;https://security.snyk.io/vuln/SNYK-PHP-AHEINZECOCKPIT-7246;no;no;yes;no;
CVE-2018-14065;SNYK-PHP-PHPOFFICECOMMON-72245;https://security.snyk.io/vuln/SNYK-PHP-PHPOFFICECOMMON-7224;no;no;no;yes;
CVE-2018-13982;SNYK-PHP-SMARTYSMARTY-72378;https://security.snyk.io/vuln/SNYK-PHP-SMARTYSMARTY-7237;no;no;yes;no;
CVE-2018-13439;SNYK-JAVA-COMGITHUBWXPAY-5804001;https://security.snyk.io/vuln/SNYK-JAVA-COMGITHUBWXPAY-580400;no;no;no;yes;
CVE-2018-1285;SNYK-DOTNET-LOG4NET-568897;https://security.snyk.io/vuln/SNYK-DOTNET-LOG4NET-56889;no;no;no;yes;
CVE-2018-10917;SNYK-PYTHON-PULPCORE-5803024;https://security.snyk.io/vuln/SNYK-PYTHON-PULPCORE-580302;no;no;yes;no;
CVE-2018-1000823;SNYK-JAVA-ORGEXISTDB-1303388;https://security.snyk.io/vuln/SNYK-JAVA-ORGEXISTDB-130338;no;no;no;yes;
CVE-2018-1000817;SNYK-JAVA-ORGGRAILSPLUGINS-3145129;https://security.snyk.io/vuln/SNYK-JAVA-ORGGRAILSPLUGINS-314512;no;no;yes;no;
CVE-2018-1000817;SNYK-JAVA-COMBERTRAMLABSPLUGINS-3145136;https://security.snyk.io/vuln/SNYK-JAVA-COMBERTRAMLABSPLUGINS-314513;no;no;yes;no;
CVE-2018-1000079;SNYK-RUBY-RUBYGEMSUPDATE-472648;https://security.snyk.io/vuln/SNYK-RUBY-RUBYGEMSUPDATE-47264;no;no;yes;no;
